OBJECTID,siteID,Longitude,Latitude,siteName,radarType,antennaElevation
1,KABR,-98.413046,45.455833,ABERDEEN,NEXRAD,Unknown
2,KABX,-106.82388,35.149722,ALBUQUERQUE,NEXRAD,Unknown
3,KAKQ,-77.007491,36.983889,NORFOLK,NEXRAD,Unknown
4,KAMA,-101.709269,35.233333,AMARILLO,NEXRAD,Unknown
5,KAMX,-80.413048,25.610556,MIAMI,NEXRAD,Unknown
6,KAPX,-84.719523,44.90635,NCL MICHIGAN,NEXRAD,Unknown
7,KARX,-91.191101,43.822778,LA CROSSE,NEXRAD,Unknown
8,KATX,-122.495684,48.194611,SEATTLE,NEXRAD,Unknown
9,KBBX,-121.631658,39.496111,BEALE AFB,NEXRAD,Unknown
10,KBGM,-75.984713,42.199694,BINGHAMTON,NEXRAD,Unknown
11,KBHX,-124.292158,40.498333,EUREKA (BUNKER HILL),NEXRAD,Unknown
12,KBIS,-100.760268,46.770833,BISMARCK,NEXRAD,Unknown
13,KBLX,-108.606796,45.853778,BILLINGS,NEXRAD,Unknown
14,KBMX,-86.769713,33.171944,BIRMINGHAM,NEXRAD,Unknown
15,KBOX,-71.136851,41.955778,BOSTON,NEXRAD,Unknown
16,KBRO,-97.418603,25.915556,BROWNSVILLE,NEXRAD,Unknown
17,KBUF,-78.736935,42.948611,BUFFALO,NEXRAD,Unknown
18,KBYX,-81.703325,24.596944,KEY WEST,NEXRAD,Unknown
19,KCAE,-81.118602,33.948611,COLUMBIA,NEXRAD,Unknown
20,KCBW,-67.806407,46.039167,CARIBOU,NEXRAD,Unknown
21,KCBX,-116.236023,43.490217,BOISE,NEXRAD,Unknown
22,KCCX,-78.00388,40.923056,STATE COLLEGE,NEXRAD,Unknown
23,KCLE,-81.859991,41.413056,CLEVELAND,NEXRAD,Unknown
24,KCLX,-81.042186,32.655528,"CHARLESTON, SC",NEXRAD,Unknown
25,KCRI,-97.459991,35.238333,ROC FAA REDUNDANT (RDA 1),NEXRAD,Unknown
26,KCRP,-97.510825,27.783889,CORPUS CHRISTI,NEXRAD,Unknown
27,KCXX,-73.166379,44.511111,BURLINGTON,NEXRAD,Unknown
28,KCYS,-104.806102,41.151944,CHEYENNE,NEXRAD,Unknown
29,KDAX,-121.677824,38.501111,SACRAMENTO,NEXRAD,Unknown
30,KDDC,-99.96888,37.760833,DODGE CITY,NEXRAD,Unknown
31,KDFX,-100.28027,29.2725,LAUGHLIN AFB,NEXRAD,Unknown
32,KDGX,-89.984436,32.28,"JACKSON/BRANDON, MS",NEXRAD,Unknown
33,KDIX,-74.410713,39.946944,PHILADELPHIA,NEXRAD,Unknown
34,KDLH,-92.209712,46.836944,DULUTH,NEXRAD,Unknown
35,KDMX,-93.722852,41.731111,DES MOINES,NEXRAD,Unknown
36,KDOX,-75.439991,38.825556,DOVER AFB,NEXRAD,Unknown
37,KDTX,-83.471658,42.7,DETROIT,NEXRAD,Unknown
38,KDVN,-90.580824,41.611667,QUAD CITIES,NEXRAD,Unknown
39,KDYX,-99.254159,32.538333,DYESS AFB,NEXRAD,Unknown
40,KEAX,-94.264463,38.81025,PLEASANT HILL,NEXRAD,Unknown
41,KEMX,-110.63027,31.893611,TUCSON,NEXRAD,Unknown
42,KENX,-74.064074,42.586556,ALBANY,NEXRAD,Unknown
43,KEOX,-85.459381,31.460556,FT RUCKER,NEXRAD,Unknown
44,KEPZ,-106.697992,31.873056,EL PASO,NEXRAD,Unknown
45,KESX,-114.891381,35.701111,LAS VEGAS,NEXRAD,Unknown
46,KEVX,-85.921659,30.565033,EGLIN AFB,NEXRAD,Unknown
47,KEWX,-98.028603,29.704056,AUSTIN/SAN ANTONIO,NEXRAD,Unknown
48,KEYX,-117.560741,35.097778,EDWARDS AFB,NEXRAD,Unknown
49,KFCX,-80.274158,37.024167,ROANOKE,NEXRAD,Unknown
50,KFDR,-98.976659,34.362194,ALTUS AFB,NEXRAD,Unknown
51,KFDX,-103.618881,34.634167,CANNON AFB,NEXRAD,Unknown
52,KFFC,-84.565825,33.363333,ATLANTA,NEXRAD,Unknown
53,KFSD,-96.72888,43.587778,SIOUX FALLS,NEXRAD,Unknown
54,KFSX,-111.198435,34.574333,FLAGSTAFF (RDA 1),NEXRAD,Unknown
55,KFTG,-104.545797,39.786639,DENVER,NEXRAD,Unknown
56,KFWS,-97.303131,32.572778,DALLAS/FT WORTH,NEXRAD,Unknown
57,KGGW,-106.624683,48.206361,GLASGOW,NEXRAD,Unknown
58,KGJX,-108.213752,39.062222,GRAND JUNCTION (RDA 1),NEXRAD,Unknown
59,KGLD,-101.700269,39.366944,GOODLAND,NEXRAD,Unknown
60,KGRB,-88.111101,44.498633,GREEN BAY,NEXRAD,Unknown
61,KGRK,-97.38277,30.721667,FT HOOD,NEXRAD,Unknown
62,KGRR,-85.54488,42.893889,GRAND RAPIDS,NEXRAD,Unknown
63,KGSP,-82.219825,34.883306,GREER,NEXRAD,Unknown
64,KGWX,-88.329186,33.896917,COLUMBUS AFB,NEXRAD,Unknown
65,KGYX,-70.256351,43.891306,"PORTLAND, ME",NEXRAD,Unknown
